INSTNM,CITY,STABBR,REGION,LOCALE,RELAFFIL,ADM_RATE,UGDS,ACTCM25,ACTCM75,SATVR25,SATVR75,SATMT25,SATMT75,MENONLY,WOMENONLY,HBCU,ANNHI,TRIBAL,AANAPII,HSI,NANTI,CCSIZSET,NPT4_PUB,NPT4_PRIV,C150_4,C150_L4,,
Pima Medical Institute-Albuquerque,Albuquerque,NM,6,11,NULL,NULL,606,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,NULL,20850,NULL,0.6619,,
Prescott College,Prescott,AZ,6,13,NULL,0.9842,413,15,24,555,680,540,610,0,0,0,0,0,0,0,0,7,NULL,22082,0.4878,NULL,,
Refrigeration School Inc,Phoenix,AZ,6,11,NULL,NULL,897,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,NULL,20872,NULL,0.7136,,
Rio Salado College,Tempe,AZ,6,12,NULL,NULL,6288,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,4,9156,NULL,NULL,0.039,,
Roberto-Venn School of Luthiery,Phoenix,AZ,6,11,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,21557,NULL,0.8667,,
Scottsdale Community College,Scottsdale,AZ,6,41,NULL,NULL,5567,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,11088,NULL,NULL,0.1715,,
South Mountain Community College,Phoenix,AZ,6,11,NULL,NULL,2487,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,3,9834,NULL,NULL,0.1914,,
Arizona Christian University,Glendale,AZ,6,21,88,0.7147,883,17,22,476,570,460,550,0,0,0,0,0,0,1,0,7,NULL,29065,0.4379,NULL,,
Universal Technical Institute of Arizona Inc,Avondale,AZ,6,22,NULL,NULL,1845,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,NULL,24166,NULL,0.6682,,
Empire Beauty School-NW Phoenix,Phoenix,AZ,6,11,NULL,NULL,61,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,14806,NULL,0.3256,,
Yavapai College,Prescott,AZ,6,13,NULL,NULL,3951,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,6814,NULL,NULL,0.3169,,
University of Arkansas at Little Rock,Little Rock,AR,5,12,NULL,0.5604,5620,18,25,470,610,500,580,0,0,0,0,0,0,0,0,12,16065,NULL,0.4169,NULL,,
University of Arkansas for Medical Sciences,Little Rock,AR,5,12,NULL,NULL,838,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,10,NULL,NULL,NULL,NULL,,
Arkansas Baptist College,Little Rock,AR,5,12,54,NULL,468,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,0,0,0,8,NULL,16961,0.1246,NULL,,
Arkansas Beauty School-Little Rock,Little Rock,AR,5,12,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,23066,NULL,0,,
Arkansas Beauty College,Russellville,AR,5,33,NULL,NULL,38,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,10659,NULL,0.6364,,
Lyon College,Batesville,AR,5,33,66,0.5015,665,22,28,505,580,510,585,0,0,0,0,0,0,0,0,8,NULL,20706,0.4252,NULL,,
Arkansas Technical School,North Little Rock,AR,5,13,NULL,NULL,84,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,20567,NULL,0,,
Arthur's Beauty College,Fort Smith,AR,5,13,NULL,NULL,29,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,10667,NULL,0.52,,
University of Arkansas,Fayetteville,AR,5,13,NULL,0.7767,22624,23,29,550,640,540,640,0,0,0,0,0,0,0,0,16,16507,NULL,0.685,NULL,,
University of Arkansas at Pine Bluff,Pine Bluff,AR,5,13,NULL,0.5966,2440,14,18,400,500,400,500,0,0,1,0,0,0,0,0,11,11631,NULL,0.3892,NULL,,
Arkansas State University-Beebe,Beebe,AR,5,31,NULL,NULL,2137,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,3,9063,NULL,NULL,0.417,,
Arkansas State University,Jonesboro,AR,5,13,NULL,0.6719,7739,20,26,500,590,500,630,0,0,0,0,0,0,0,0,13,14189,NULL,0.5301,NULL,,
Arkansas Tech University,Russellville,AR,5,33,NULL,0.9766,7384,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,13,11721,NULL,0.4422,NULL,,
University of Arkansas at Monticello,Monticello,AR,5,33,NULL,NULL,2048,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,10,10451,NULL,0.3561,NULL,,
Arthur's Beauty College,Jacksonville,AR,5,21,NULL,NULL,57,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,10642,NULL,0.4545,,
Baptist Health College Little Rock,Little Rock,AR,5,12,54,0.5,661,18,22,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,NULL,23234,NULL,0.8571,,
Black River Technical College,Pocahontas,AR,5,41,NULL,NULL,1105,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,4721,NULL,NULL,0.2977,,
University of Central Arkansas,Conway,AR,5,13,NULL,0.9378,8237,20,27,480,580,470,570,0,0,0,0,0,0,0,0,13,16554,NULL,0.4573,NULL,,
Central Baptist College,Conway,AR,5,13,54,0.4981,554,18,22,425,565,455,535,0,0,0,0,0,0,0,0,7,NULL,15482,0.3846,NULL,,
Cossatot Community College of the University of Arkansas,De Queen,AR,5,41,NULL,NULL,862,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,2,5715,NULL,NULL,0.4131,,
Crowley's Ridge College,Paragould,AR,5,41,74,NULL,172,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,8,NULL,14395,0.3871,NULL,,
East Arkansas Community College,Forrest City,AR,5,32,NULL,NULL,652,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,6683,NULL,NULL,0.25,,
Eastern College of Health Vocations-Little Rock,Little Rock,AR,5,12,NULL,NULL,80,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,13041,NULL,0.4852,,
Paul Mitchell the School-Little Rock,North Little Rock,AR,5,13,NULL,NULL,405,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,22000,NULL,0.5957,,
National Park College,Hot Springs,AR,5,23,NULL,NULL,1895,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,9198,NULL,NULL,0.1953,,
University of Arkansas Community College-Batesville,Batesville,AR,5,33,NULL,NULL,844,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,9914,NULL,NULL,0.5228,,
Harding University,Searcy,AR,5,32,74,0.5507,3492,21,29,540,650,520,640,0,0,0,0,0,0,0,0,14,NULL,19456,0.7152,NULL,,
Henderson State University,Arkadelphia,AR,5,32,NULL,0.749,2603,19,24,435,590,410,580,0,0,0,0,0,0,0,0,11,14902,NULL,0.3411,NULL,,
Hendrix College,Conway,AR,5,13,71,0.7054,1065,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,11,NULL,19746,0.655,NULL,,
Hot Springs Beauty College,Hot Springs,AR,5,13,NULL,NULL,81,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,11008,NULL,0.3846,,
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,5,13,NULL,NULL,55,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,NULL,NULL,NULL,,
John Brown University,Siloam Springs,AR,5,32,NULL,0.5886,1437,22,29,560,680,530,630,0,0,0,0,0,0,0,0,11,NULL,21957,0.6447,NULL,,
Career Academy of Hair Design,Springdale,AR,5,13,NULL,NULL,192,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,11329,NULL,0.5842,,
Academy of Salon and Spa,Fort Smith,AR,5,13,NULL,NULL,53,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,15947,NULL,0.85,,
Arkansas State University Mid-South,West Memphis,AR,5,21,NULL,NULL,571,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,6251,NULL,NULL,0.1624,,
Arkansas Northeastern College,Blytheville,AR,5,41,NULL,NULL,814,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,3648,NULL,NULL,0.2713,,
New Tyler Barber College Inc,North Little Rock,AR,5,13,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,NULL,15668,NULL,0.7,,
North Arkansas College,Harrison,AR,5,33,NULL,NULL,1211,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2,6439,NULL,NULL,0.2714,,
Northwest Technical Institute,Springdale,AR,5,13,NULL,NULL,186,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,-2,15534,NULL,NULL,0.6957,,
Ouachita Baptist University,Arkadelphia,AR,5,32,75,0.6177,1520,21,29,520,630,510,600,0,0,0,0,0,0,0,0,11,NULL,20639,0.6048,NULL,,
